2024-08-30 10:25:24 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 15:33:02 - {'A1': 1.6655034461718117, 'phi1': -1.1989733390921355, 'A2': 1.6850288146256425, 'phi2': 2.165017973812977, 'mean': 0.04339085766116616}
2024-08-30 15:33:02 - {'A1_std': 0.5047746893064182, 'phi1_std': 0.3204006100463366, 'A2_std': 0.49326210335474785, 'phi2_std': 0.32404736034791304, 'mean_std': 0.009314175597624968}
2024-08-30 15:33:02 - {'freq': '70-150', 'ant': 2, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:33:02 - {'A1': 5.022474035131069, 'phi1': -1.6454030515451608, 'A2': 5.186605873089651, 'phi2': 1.6810766818172467, 'mean': 0.1910566213902186}
2024-08-30 15:33:02 - {'A1_std': 0.4146867845587379, 'phi1_std': 0.07309889162913936, 'A2_std': 0.4094107911121996, 'phi2_std': 0.0722025836153708, 'mean_std': 0.007022421462529145}
2024-08-30 15:33:03 - {'freq': '70-150', 'ant': 2, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:33:03 - {'A1': 5.614156147216012, 'phi1': -0.09562416322890589, 'A2': 5.479749520872375, 'phi2': 3.155086840089849, 'mean': -0.0492917944213869}
2024-08-30 15:33:03 - {'A1_std': 0.21506958205941787, 'phi1_std': 0.04357587103430188, 'A2_std': 0.21606131593409933, 'phi2_std': 0.04462749381101182, 'mean_std': 0.0041299604684496265}
2024-08-30 15:33:04 - -
2024-09-02 18:41:05 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-09-02 18:41:05 - {'A1': 3.7157774532914987, 'phi1': -1.1775375052071249, 'A2': 3.6808109949330645, 'phi2': 2.1419294591714464, 'mean': 0.040763387579485465}
2024-09-02 18:41:05 - {'A1_std': 0.41133304069103743, 'phi1_std': 0.11803822703455787, 'A2_std': 0.40564680717134655, 'phi2_std': 0.12099397312747193, 'mean_std': 0.00762452318956818}
2024-09-02 18:41:05 - {'freq': '70-150', 'ant': 0, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-09-02 18:41:05 - {'A1': 4.703258638262566, 'phi1': 0.9585197000824911, 'A2': 4.514505082816624, 'phi2': 4.167342609792078, 'mean': 0.06569471241855485}
2024-09-02 18:41:05 - {'A1_std': 0.3022276399699153, 'phi1_std': 0.05212107202221304, 'A2_std': 0.30206796716633366, 'phi2_std': 0.05457445566697145, 'mean_std': 0.004933913789066027}
2024-09-02 18:41:06 - {'freq': '70-150', 'ant': 1, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-09-02 18:41:06 - {'A1': 2.469352567577226, 'phi1': 0.6543008489357564, 'A2': 2.412164281715686, 'phi2': 3.8926908842259453, 'mean': -0.00209923812882039}
2024-09-02 18:41:06 - {'A1_std': 0.1429617913773346, 'phi1_std': 0.049551670947741544, 'A2_std': 0.14300724008833485, 'phi2_std': 0.05090433494238045, 'mean_std': 0.002385849388389766}
2024-09-02 18:41:06 - {'freq': '70-150', 'ant': 1, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-09-02 18:41:06 - {'A1': 1.6655034461718117, 'phi1': -1.1989733390921355, 'A2': 1.6850288146256425, 'phi2': 2.165017973812977, 'mean': 0.04339085766116616}
